happiness,State
89.84,New York
11.98,Florida
49.98,Missouri
44.43,District of Columbia
62.19,Minnesota
96.86,Texas
58.47,Ohio
23.45,Pennsylvania
68.49,Indiana
39.97,Texas
77.4,Nevada
2.77,Texas
17.48,Kentucky
57.6,Georgia
64.96,Colorado
94.51,New Jersey
37.97,Arizona
22.87,Arizona
13.69,Georgia
9.33,Oregon
50.14,Tennessee
95.17,Wisconsin
96.69,New York
75.17,Texas
88.67,New York
37.89,Kansas
20.03,District of Columbia
75.25,Nebraska
41.47,Georgia
87.9,North Carolina
93.42,Florida
3.29,Florida
60.87,California
72.39,California
6.4,New York
39.88,California
10.2,New Jersey
53.45,California
58.34,Arizona
27.14,Oregon
64.11,Arkansas
23.54,North Dakota
89.14,California
10.59,Florida
7.53,New York
9.4,Texas
12.53,North Carolina
24.74,California
54.21,California
91.33,Louisiana
58.38,Missouri
14.98,Texas
13.45,Kentucky
66.37,New York
97.38,Texas
44.21,Texas
89.6,California
64.05,Tennessee
16.27,Connecticut
86.24,Illinois
40.99,District of Columbia
89.59,Delaware
57.8,Florida
34.73,Florida
38.86,Iowa
33.05,Washington
69.7,Florida
12.55,Oregon
69.95,Texas
71.08,New Mexico
74.6,Florida
60.86,California
38.49,West Virginia
48.04,Ohio
78.21,Pennsylvania
62.57,New Mexico
90.03,Texas
54.39,Minnesota
41.05,Missouri
62.83,Texas
27.86,Texas
39.01,Virginia
47.77,Alabama
46.61,California
94.89,South Carolina
5.46,Kansas
74.99,New Jersey
34.42,California
99.92,Texas
64.89,Maryland
9.28,New York
65.3,Maryland
17.74,Pennsylvania
73.27,Louisiana
98.12,California
8.12,Virginia
56.32,California
69.18,Virginia
39.88,Florida
36.57,New York
7.69,Massachusetts
83.46,Virginia
38.21,Texas
94.73,Massachusetts
60.42,Texas
39.68,Florida
43.25,New Jersey
79.45,New Jersey
76.6,Missouri
59.78,Arizona
50.45,Nevada
85.87,Massachusetts
13.59,Pennsylvania
50.02,South Carolina
97.0,New Jersey
53.99,Arizona
56.9,Virginia
49.37,Missouri
17.81,Nevada
20.78,New York
43.54,Illinois
13.61,Florida
32.59,Hawaii
87.4,California
88.58,Minnesota
60.79,Tennessee
77.76,New York
69.1,Illinois
83.73,Missouri
79.45,Georgia
99.98,California
88.07,Utah
63.22,Texas
49.98,Illinois
15.98,Missouri
92.79,Colorado
83.19,Arkansas
14.11,Pennsylvania
46.92,Michigan
54.06,Georgia
33.28,Florida
23.15,Alabama
47.3,Georgia
52.29,Colorado
32.42,Virginia
32.05,District of Columbia
55.62,Georgia
24.85,Michigan
97.67,West Virginia
8.07,Pennsylvania
65.96,Ohio
63.02,Florida
54.16,Colorado
27.56,Colorado
10.6,District of Columbia
54.16,Texas
57.38,Texas
5.34,California
78.53,Texas
89.04,Florida
66.74,New York
81.58,Florida
86.69,Florida
95.7,Ohio
30.72,Iowa
53.44,Georgia
50.53,Indiana
12.07,New Jersey
90.64,Missouri
39.47,District of Columbia
84.45,Florida
91.35,South Carolina
13.85,North Carolina
26.81,Vermont
64.44,Minnesota
70.33,Connecticut
90.92,Nevada
96.7,New York
44.18,Georgia
68.86,New Mexico
50.7,District of Columbia
70.72,Missouri
86.24,Indiana
57.09,Illinois
6.94,Florida
78.14,Colorado
62.28,South Carolina
59.88,Nevada
64.81,Michigan
87.87,Ohio
2.95,Utah
23.39,Arizona
10.41,Iowa
16.45,Florida
99.17,Texas
41.59,Pennsylvania
11.06,Missouri
57.78,New York
2.33,California
49.04,Illinois
24.76,New Mexico
53.2,New York
33.16,Kentucky
8.26,New Mexico
85.83,Ohio
10.6,Florida
6.06,Florida
18.48,Oregon
97.92,Michigan
37.29,Florida
69.05,Texas
72.28,California
37.95,Massachusetts
22.44,New York
77.89,Oklahoma
54.07,Colorado
76.56,Ohio
67.83,Kansas
80.41,Maryland
60.13,Virginia
10.36,District of Columbia
13.18,Virginia
2.02,New Jersey
5.98,Virginia
41.76,Virginia
7.8,Minnesota
19.31,Florida
85.57,North Carolina
8.54,California
53.94,Virginia
53.9,Michigan
88.25,Texas
94.11,California
39.61,District of Columbia
32.97,Georgia
41.3,Alabama
30.6,Texas
56.0,Minnesota
16.52,Michigan
18.35,California
9.49,Minnesota
79.73,Florida
96.36,Massachusetts
27.9,Florida
48.48,California
50.5,Texas
57.1,Rhode Island
34.94,Florida
38.67,Pennsylvania
20.31,Colorado
37.22,Virginia
84.47,Montana
29.51,Ohio
24.86,Minnesota
44.01,Indiana
9.85,Oregon
46.01,Texas
87.06,Michigan
77.79,Nevada
34.68,Minnesota
79.8,Florida
45.61,California
44.11,South Carolina
11.39,Kansas
21.85,Idaho
39.79,Ohio
95.21,Texas
14.93,Oregon
20.87,Wisconsin
17.04,North Dakota
3.17,Oklahoma
40.71,California
84.31,Florida
68.32,California
79.83,New York
5.19,District of Columbia
37.13,Massachusetts
79.49,Pennsylvania
56.75,Michigan
84.04,North Carolina
41.25,Virginia
12.09,Florida
94.81,California
18.81,California
59.32,District of Columbia
92.87,District of Columbia
1.62,Texas
97.32,New Jersey
75.38,Oklahoma
46.57,Connecticut
32.87,Colorado
94.79,California
33.52,Washington
43.73,Hawaii
18.89,District of Columbia
68.13,District of Columbia
72.65,Arkansas
61.63,Florida
8.86,Utah
77.16,Florida
50.27,Virginia
13.47,Louisiana
26.46,Louisiana
11.6,Texas
49.62,California
63.43,California
44.03,Ohio
76.4,Ohio
11.49,California
62.8,Arkansas
8.68,Colorado
12.58,Texas
55.62,Florida
81.37,Texas
16.16,Delaware
10.04,Iowa
89.67,Michigan
95.62,Texas
41.51,Tennessee
94.32,Colorado
23.01,Texas
64.79,New Jersey
52.44,Alabama
65.25,Massachusetts
86.77,Alabama
13.17,Oklahoma
26.45,California
18.73,Colorado
2.45,Indiana
43.71,Arizona
88.64,California
9.07,Texas
64.59,Texas
47.0,Florida
40.55,South Carolina
32.63,Missouri
35.41,Pennsylvania
73.41,Pennsylvania
51.79,Mississippi
41.88,New Jersey
64.94,Texas
31.01,Illinois
60.4,Missouri
26.68,Virginia
93.34,Nebraska
59.71,Texas
62.46,Texas
54.26,Arizona
32.76,Illinois
91.96,Wisconsin
21.92,Kentucky
73.91,Ohio
21.02,Indiana
79.87,California
7.04,District of Columbia
49.65,Massachusetts
96.3,Louisiana
18.93,Delaware
84.27,Michigan
68.34,Florida
42.51,Ohio
97.03,Kentucky
30.21,Arkansas
32.53,District of Columbia
92.01,Ohio
93.77,California
75.56,Indiana
20.46,Virginia
67.66,Minnesota
34.91,Illinois
23.72,Illinois
72.78,Pennsylvania
16.54,Florida
23.21,Nevada
78.37,New York
5.23,New York
92.41,Washington
3.91,Hawaii
87.26,Utah
10.22,Ohio
97.52,Texas
98.63,Connecticut
61.58,New York
79.44,Florida
4.74,Colorado
15.61,Ohio
21.57,Texas
20.17,Virginia
78.97,Texas
14.11,Texas
73.05,Texas
41.23,Texas
97.01,New York
73.63,Nevada
67.17,Louisiana
93.15,California
38.65,California
12.14,Texas
88.11,California
99.71,Florida
64.72,North Dakota
65.52,District of Columbia
58.34,Indiana
21.74,Delaware
51.08,Florida
68.25,Florida
49.13,Florida
26.97,Pennsylvania
39.66,California
14.9,Mississippi
93.63,Texas
69.21,Ohio
33.68,Texas
24.78,Virginia
57.17,Ohio
11.0,New York
31.96,Alabama
28.68,Tennessee
36.37,Virginia
56.56,District of Columbia
67.73,Arizona
19.74,Hawaii
71.47,Massachusetts
89.68,Florida
93.94,Mississippi
44.26,Florida
2.96,New Mexico
35.78,New York
65.11,Colorado
99.99,California
89.97,Georgia
27.17,California
38.23,California
60.06,Tennessee
84.33,Ohio
96.09,Illinois
97.12,Arizona
39.43,Pennsylvania
79.79,Michigan
59.53,Nevada
4.55,Louisiana
56.26,Florida
66.84,California
11.64,New Jersey
53.65,Georgia
6.25,Arizona
98.1,Texas
24.52,Texas
81.02,Texas
66.78,Oregon
11.56,Michigan
75.45,Texas
76.74,Minnesota
44.11,New York
85.41,District of Columbia
74.36,South Carolina
17.97,North Carolina
9.77,California
7.04,District of Columbia
91.18,Nevada
1.73,New York
88.37,Missouri
62.72,Georgia
43.15,New York
19.36,Kentucky
90.47,Texas
60.89,Washington
56.32,Virginia
47.69,Tennessee
97.44,District of Columbia
86.25,Florida
36.86,Nebraska
1.71,Iowa
44.36,Florida
49.38,District of Columbia
13.61,Tennessee
34.9,West Virginia
12.53,New York
18.82,Texas
26.3,Missouri
70.63,Pennsylvania
86.77,Texas
50.39,Illinois
12.7,South Carolina
16.53,Illinois
62.61,Texas
54.8,California
21.41,Georgia
26.71,Mississippi
10.17,Oregon
34.18,Massachusetts
60.15,California
98.08,Indiana
35.5,California
37.2,Pennsylvania
24.1,Georgia
3.91,Connecticut
74.86,Pennsylvania
16.6,Texas
82.88,California
43.87,California
20.4,New York
60.29,New York
13.5,Illinois
3.51,North Carolina
31.93,Missouri
38.21,Louisiana
71.69,South Carolina
86.94,Oregon
29.95,Texas
24.78,Utah
81.03,Louisiana
5.72,Michigan
37.58,Colorado
84.36,California
39.07,Texas
56.28,Missouri
20.72,California
27.75,New Jersey
36.77,California
57.19,Texas
58.06,Texas
8.18,Texas
71.04,Washington
68.26,Indiana
51.7,California
89.95,Arkansas
2.05,Delaware
70.93,Minnesota
87.87,New York
98.56,Texas
71.83,Florida
48.78,California
86.04,Kansas
69.67,California
99.6,District of Columbia
61.38,Missouri
97.6,Tennessee
38.6,New Jersey
69.36,Texas
2.44,Kentucky
92.08,Massachusetts
54.08,Massachusetts
99.36,Washington
56.54,Minnesota
45.41,Ohio
95.12,Delaware
8.16,North Carolina
74.16,Virginia
59.16,Florida
89.72,California
4.13,California
16.15,California
43.91,Texas
46.62,Pennsylvania
71.98,Kansas
57.17,Ohio
27.42,Wisconsin
7.08,Georgia
94.21,California
47.84,California
43.24,Nebraska
87.62,Texas
59.24,Colorado
80.2,South Carolina
56.27,California
82.64,Ohio
59.2,Virginia
43.5,Ohio
38.23,New York
76.79,Ohio
49.96,Texas
96.99,Kansas
3.64,Illinois
72.65,Michigan
95.68,California
23.08,Texas
4.97,Pennsylvania
17.03,Florida
59.94,Florida
57.92,Oklahoma
34.78,Connecticut
44.54,Maryland
27.96,Arizona
82.79,New Hampshire
49.55,Texas
96.97,Pennsylvania
36.98,Texas
75.79,Florida
87.34,California
29.24,Florida
30.03,Ohio
24.81,Texas
52.08,Wisconsin
38.76,Pennsylvania
17.32,California
60.38,Virginia
35.52,Minnesota
23.22,Pennsylvania
43.17,California
16.96,Florida
38.76,Texas
1.79,California
90.92,Texas
67.09,Pennsylvania
59.61,Texas
92.7,California
83.75,California
4.62,Virginia
48.83,Colorado
59.3,Virginia
16.5,California
85.58,Florida
59.81,North Carolina
53.62,California
3.02,Alabama
78.03,Alabama
8.46,Louisiana
53.48,Missouri
90.97,Florida
27.16,Texas
66.98,Arkansas
1.6,West Virginia
45.16,Georgia
28.5,California
31.29,Virginia
21.01,Alabama
52.11,Virginia
97.7,Florida
44.19,Michigan
44.56,Florida
6.44,Texas
34.89,New Hampshire
45.72,Texas
59.46,Alaska
38.99,New Mexico
72.33,Florida
68.06,Iowa
62.73,Arkansas
70.71,Michigan
29.98,Ohio
39.56,Florida
47.38,Texas
80.28,Florida
49.4,California
90.88,Florida
72.26,Minnesota
38.63,Montana
53.17,Louisiana
17.19,New Mexico
92.88,South Carolina
54.66,California
48.56,Ohio
74.27,Virginia
8.46,Ohio
21.98,Florida
31.25,New York
13.63,Michigan
18.28,Mississippi
76.27,California
42.95,South Carolina
42.47,New York
51.23,California
26.55,Virginia
2.1,California
17.34,Washington
42.97,Florida
98.25,Connecticut
64.52,West Virginia
87.04,Alabama
38.35,Texas
56.76,Virginia
73.02,Oklahoma
2.94,Kentucky
89.91,Texas
29.77,Colorado
77.06,Florida
26.01,Wisconsin
46.32,Iowa
15.49,Indiana
21.86,Illinois
77.49,Arkansas
92.63,Pennsylvania
7.78,Massachusetts
15.0,Texas
60.9,Michigan
15.53,Alaska
67.12,California
51.85,North Carolina
5.69,Nebraska
25.25,Arizona
16.76,Georgia
58.49,Ohio
61.52,South Carolina
74.53,Ohio
10.6,Alabama
57.94,Arizona
62.57,Colorado
5.25,Florida
20.63,Missouri
75.77,Oregon
88.9,Pennsylvania
24.35,Wisconsin
24.98,Ohio
70.29,Utah
93.13,California
48.68,Illinois
81.5,Indiana
95.52,Florida
97.21,Arizona
92.31,Florida
75.19,Colorado
34.88,Illinois
62.53,New Mexico
30.46,Alabama
63.48,New Mexico
98.34,Indiana
64.79,California
70.78,Arizona
8.91,Connecticut
82.15,West Virginia
69.46,New York
14.71,California
6.0,Tennessee
20.28,California
11.47,Georgia
67.92,South Carolina
95.84,Texas
4.7,Michigan
44.36,South Carolina
82.81,Florida
54.94,Virginia
54.01,California
67.53,Kentucky
17.88,Texas
77.2,Washington
57.59,Michigan
64.16,New Hampshire
50.91,Ohio
69.59,Arizona
66.15,Texas
50.14,New Jersey
86.98,Texas
11.3,Pennsylvania
86.92,Colorado
52.09,Texas
17.85,Connecticut
64.8,Alabama
31.4,West Virginia
5.86,Florida
54.97,Texas
72.0,Washington
14.75,Maryland
73.74,South Dakota
96.5,Virginia
91.47,Illinois
66.6,Nevada
88.93,District of Columbia
54.67,Florida
2.6,Florida
29.97,Missouri
65.87,Georgia
81.44,Minnesota
54.01,Louisiana
20.8,Florida
77.54,Delaware
47.84,California
1.9,North Carolina
4.53,Louisiana
2.97,Colorado
65.4,Texas
9.09,Tennessee
62.05,California
16.19,Alabama
42.92,Missouri
17.22,California
83.1,Louisiana
46.27,Virginia
44.73,New Jersey
73.2,Virginia
75.2,Texas
40.26,California
88.79,Florida
65.01,Connecticut
33.81,Pennsylvania
71.31,Kansas
30.34,South Carolina
88.46,Ohio
96.17,Mississippi
40.11,New York
53.78,Arizona
4.01,Texas
41.63,Texas
54.86,Georgia
43.04,Arizona
17.46,New York
40.76,New York
1.72,Arkansas
70.62,Wisconsin
6.52,Pennsylvania
31.97,Alabama
93.72,Nevada
60.53,District of Columbia
5.58,Washington
82.2,Minnesota
84.43,California
57.1,Pennsylvania
78.19,Georgia
33.58,Washington
58.08,North Carolina
21.04,Kansas
55.18,Pennsylvania
7.69,Florida
98.29,Indiana
30.23,Massachusetts
81.15,Texas
97.96,California
44.27,Georgia
76.34,Indiana
90.82,Illinois
61.23,Illinois
32.04,Texas
85.23,New York
51.87,Ohio
8.35,Louisiana
10.42,New Jersey
35.69,Florida
45.38,Texas
64.63,West Virginia
51.34,North Carolina
68.32,California
24.9,Illinois
61.68,Florida
77.36,Oklahoma
77.98,Ohio
90.64,Texas
14.04,Iowa
78.14,Florida
62.94,New Mexico
65.18,New York
21.03,Texas
58.91,Ohio
37.07,California
49.59,Louisiana
95.3,Kentucky
39.51,Oklahoma
31.48,Utah
18.43,Texas
87.21,Florida
3.37,Nevada
12.16,Alabama
97.02,West Virginia
14.82,Louisiana
91.79,Texas
35.05,Indiana
80.61,Pennsylvania
31.88,Texas
80.85,California
39.74,Texas
49.34,New York
86.95,Texas
2.01,Illinois
78.72,California
23.08,New Mexico
90.44,Florida
47.51,Florida
41.03,Alabama
93.38,California
61.15,Oklahoma
66.72,Alabama
93.38,Oklahoma
94.33,Connecticut
1.33,Missouri
94.0,Texas
27.57,Tennessee
52.2,New York
62.78,Michigan
26.37,Kansas
83.8,Tennessee
4.5,Florida
93.34,West Virginia
72.51,Connecticut
4.46,Oregon
81.32,Illinois
27.86,Pennsylvania
16.47,District of Columbia
8.54,Florida
87.15,New York
51.93,California
